------------------------------------------------------------------------------------
Date: 5/31/2025 -- 15:50:39 (uptime: 0d, 00h 00m 08s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 14
flow.mgr.flows_notimeout                      | Total                     | 14
tcp.memuse                                    | Total                     | 4849664
tcp.reassembly_memuse                         | Total                     | 917504
http.memuse                                   | Total                     | 3072
flow.memuse                                   | Total                     | 7474304
------------------------------------------------------------------------------------
Date: 5/31/2025 -- 15:51:19 (uptime: 0d, 00h 00m 48s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 1392
decoder.pkts                                  | Total                     | 1400
decoder.bytes                                 | Total                     | 127067
decoder.ipv4                                  | Total                     | 1362
decoder.ipv6                                  | Total                     | 10
decoder.ethernet                              | Total                     | 1400
decoder.tcp                                   | Total                     | 1156
decoder.udp                                   | Total                     | 114
decoder.icmpv4                                | Total                     | 90
decoder.icmpv6                                | Total                     | 10
decoder.avg_pkt_size                          | Total                     | 90
decoder.max_pkt_size                          | Total                     | 943
flow.tcp                                      | Total                     | 80
flow.udp                                      | Total                     | 103
flow.icmpv6                                   | Total                     | 4
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 8
decoder.event.ipv4.opt_pad_required           | Total                     | 2
decoder.event.ipv6.zero_len_padn              | Total                     | 6
tcp.sessions                                  | Total                     | 80
tcp.syn                                       | Total                     | 270
tcp.synack                                    | Total                     | 270
tcp.rst                                       | Total                     | 235
detect.alert                                  | Total                     | 772
app_layer.flow.http                           | Total                     | 35
app_layer.tx.http                             | Total                     | 35
app_layer.flow.dns_udp                        | Total                     | 48
app_layer.tx.dns_udp                          | Total                     | 48
app_layer.flow.failed_udp                     | Total                     | 55
flow.mgr.full_hash_pass                       | Total                     | 1
flow.spare                                    | Total                     | 9201
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 17
flow.mgr.flows_notimeout                      | Total                     | 16
flow.mgr.flows_timeout                        | Total                     | 1
flow.mgr.flows_evicted                        | Total                     | 1
tcp.memuse                                    | Total                     | 4849664
tcp.reassembly_memuse                         | Total                     | 933888
http.memuse                                   | Total                     | 3456
flow.memuse                                   | Total                     | 7474304
------------------------------------------------------------------------------------
